,1m,3m,5m,15m,30m,1h,2h,4h,6h,8h,12h,1d
Date,2024/03/25 23:41:00,2024/03/25 23:39:00,2024/03/25 23:35:00,2024/03/25 23:15:00,2024/03/25 23:00:00,2024/03/25 22:00:00,2024/03/25 21:00:00,2024/03/25 19:00:00,2024/03/25 13:00:00,2024/03/25 15:00:00,2024/03/25 07:00:00,2024/03/24 07:00:00
Timestamp,1711384860000,1711384740000,1711384500000,1711383300000,1711382400000,1711378800000,1711375200000,1711368000000,1711346400000,1711353600000,1711324800000,1711238400000
Ema_1,3608.39,3608.39,3606.88,3575.1,3575.1,3581.49,3581.49,3581.49,3436.19,3581.49,3436.19,3454.98
Ema_2,3608.433968791197,3609.229824331546,3605.9279660013917,3575.100007476526,3575.10000400797,3581.4899999999993,3581.4899999999993,3581.4899999999993,3436.1899999999996,3581.4899999999993,3436.1899999999996,3454.9799999999996
Ema_3,3607.7743277148966,3608.7483350210787,3603.647511917228,3575.1014549283955,3575.1007799068043,3581.4899998771293,3581.489999864679,3581.489999864679,3436.19,3581.489999872511,3436.19,3454.98
Ema_4,3606.6350174067475,3607.5534639289617,3601.2450932486818,3575.115534403768,3575.1083166983312,3581.4899706915476,3581.4899678779593,3581.4899678779593,3436.19,3581.489969737191,3436.19,3454.98
Ema_5,3605.2772807754886,3606.083335519861,3599.089719571769,3575.16046467881,3575.132146955365,3581.489304737693,3581.4892422466896,3581.4892422466896,3436.19,3581.489286105639,3436.19,3454.98
Ema_6,3603.8702578676566,3604.5649806125157,3597.2437499304187,3575.2440599636575,3575.1750677241916,3581.4844604148548,3581.483996223121,3581.483996223121,3436.19,3581.484343723215,3436.19,3454.98
Ema_7,3602.4977383237556,3603.09828352007,3595.678363262021,3575.3569852656246,3575.228291045741,3581.4659316336765,3581.464052022298,3581.464052022298,3436.19,3581.4655538976763,3436.19,3454.98
Ema_8,3601.1877981683824,3601.7130536179584,3594.336699610082,3575.476894330632,3575.2735284035466,3581.4179931264844,3581.4127441221826,3581.4127441221826,3436.1900000000005,3581.4172157115318,3436.1900000000005,3454.9800000000005
Ema_9,3599.937728650074,3600.4039418088996,3593.1572368411444,3575.575939977828,3575.288176274874,3581.3216129397842,3581.310127312293,3581.310127312293,3436.1900000000005,3581.320538388023,3436.1900000000005,3454.9800000000005
Ema_10,3598.7311076154774,3599.1511131477273,3592.0841031781615,3575.6272127042866,3575.2503035991913,3581.158245051224,3581.137011673952,3581.137011673952,3436.1899999999996,3581.1574427257215,3436.1899999999996,3454.9799999999996
Ema_11,3597.5480113950607,3597.9316241479355,3591.0713021622087,3575.608622130887,3575.1418901478764,3580.9126639200013,3580.877891750133,3580.877891750133,3436.19,3580.9133207272935,3436.19,3454.98
Ema_12,3596.3702837512656,3596.7249499303853,3590.0836025703675,3575.504429568595,3574.9502118702258,3580.5743321095756,3580.522289173527,3580.522289173527,3436.19,3580.578300515927,3436.19,3454.9799999999996
Ema_13,3595.1836962996204,3595.515096377078,3589.095689011221,3575.3052142209776,3574.6679008093915,3580.1375768237253,3580.0648455757305,3580.0648455757305,3436.190000000001,3580.147333866908,3436.190000000001,3454.98
Ema_14,3593.978377336702,3594.290902832883,3588.0905720706805,3575.0070209863957,3574.292273728511,3579.6010523550003,3579.504689626514,3579.504689626514,3436.19,3579.6195998828184,3436.19,3454.9800000000005
Ema_15,3592.7484014543684,3593.0455075019127,3587.057836707409,3574.610210071239,3573.824371731699,3578.966889162797,3578.844503416717,3578.844503416717,3436.19,3578.997625414414,3436.19,3454.98
Ema_16,3591.4910586326355,3591.7755164891137,3585.992022388697,3574.118307328663,3573.2679769265123,3578.2397881684665,3578.089555079757,3578.089555079757,3436.1899999999996,3578.2863736742456,3436.1899999999996,3454.98
Ema_17,3590.206075163551,3590.4801505079736,3584.8912542178477,3573.5369974980035,3572.6287387445627,3577.4261977527103,3577.246834797,3577.246834797,3436.19,3577.492430250249,3436.19,3454.98
Ema_18,3588.894912015972,3589.160490376177,3583.756148977286,3572.8733084083774,3571.9134590202816,3576.533630111078,3576.324347026812,3576.324347026812,3436.19,3576.623336300759,3436.19,3454.98
Ema_19,3587.560185720141,3587.818861011954,3582.588974259125,3572.134984726609,3571.1295393915207,3575.5701272271194,3575.33056470261,3575.33056470261,3436.19,3575.687074343705,3436.19,3454.98
Ema_20,3586.2052163283624,3586.458353908386,3581.393021314076,3571.3300277586595,3570.284573309231,3574.543863703495,3574.27402863948,3574.27402863948,3436.19,3574.6916908496787,3436.19,3454.98
Ema_21,3584.833689026541,3585.082471187682,3580.172149307067,3570.466370895238,3569.386057504195,3573.462864623107,3573.1630672053407,3573.1630672053407,3436.1899999999996,3573.6450321386037,3436.1899999999996,3454.98
Ema_22,3583.449409891553,3583.694869240144,3578.930462404271,3569.551660905806,3568.4411974306017,3572.3348150428933,3572.005610614996,3572.005610614996,3436.19,3572.554569422484,3436.19,3454.980000000001
