,1d
Date,2024/04/01 00:00:00
Timestamp,1711929600000
Ema_1,70428.7
Ema_2,70819.13333333333
Ema_3,71014.35
Ema_4,71131.48
Ema_5,71209.56666666667
Ema_6,71265.34285714285
Ema_7,71307.175
Ema_8,71339.71111111112
Ema_9,71365.74
Ema_10,71387.03636363636
Ema_11,71404.78333333334
Ema_12,71419.8
Ema_13,71432.67142857143
Ema_14,71443.82666666666
Ema_15,71453.5875
Ema_16,71462.2
Ema_17,71469.85555555555
Ema_18,71476.7052631579
Ema_19,71482.87
Ema_20,71488.44761904761
Ema_21,71493.51818181817
Ema_22,71498.14782608696
Ema_23,71502.39166666666
Ema_24,71506.296
Ema_25,71509.90000000001
Ema_26,71513.23703703703
Ema_27,71516.33571428571
Ema_28,71519.22068965518
Ema_29,71521.91333333333
Ema_30,71524.43225806452
Ema_31,71526.79375
Ema_32,71529.01212121213
Ema_33,71531.1
Ema_34,71533.06857142856
Ema_35,71534.92777777778
Ema_36,71536.68648648649
Ema_37,71538.35263157895
Ema_38,71539.93333333333
Ema_39,71541.435
Ema_40,71542.86341463414
Ema_41,71544.2238095238
Ema_42,71545.52093023257
Ema_43,71546.7590909091
Ema_44,71547.94222222222
Ema_45,71549.07391304348
Ema_46,71550.15744680852
Ema_47,71551.19583333333
Ema_48,71552.1918367347
Ema_49,71553.148
Ema_50,71554.06666666668
Ema_51,71554.95
Ema_52,71555.8
Ema_53,71556.61851851852
Ema_54,71557.40727272727
Ema_55,71558.16785714286
Ema_56,71558.90175438597
Ema_57,71559.61034482758
Ema_58,71560.29491525423
Ema_59,71560.95666666667
Ema_60,71561.59672131146
Ema_61,71562.21612903227
Ema_62,71562.81587301588
Ema_63,71563.396875
Ema_64,71563.96
Ema_65,71564.50606060607
Ema_66,71565.03582089553
Ema_67,71565.55
Ema_68,71566.04927536233
Ema_69,71566.53428571428
Ema_70,71567.00563380281
Ema_71,71567.46388888889
Ema_72,71567.9095890411
Ema_73,71568.34324324325
Ema_74,71568.76533333334
Ema_75,71569.17631578947
Ema_76,71569.57662337663
Ema_77,71569.96666666666
Ema_78,71570.34683544304
Ema_79,71570.7175
Ema_80,71571.07901234567
Ema_81,71571.43170731708
Ema_82,71571.77590361446
Ema_83,71572.1119047619
Ema_84,71572.44
Ema_85,71572.76046511627
Ema_86,71573.0735632184
Ema_87,71573.37954545455
Ema_88,71573.67865168539
Ema_89,71573.97111111111
Ema_90,71574.25714285714
Ema_91,71574.53695652174
Ema_92,71574.81075268818
Ema_93,71575.07872340425
Ema_94,71575.34105263159
Ema_95,71575.59791666667
Ema_96,71575.84948453608
Ema_97,71576.09591836735
Ema_98,71576.33737373738
Ema_99,71576.574
Ema_100,71576.80594059406
