,30m
Date,2024/03/30 16:30:00
Timestamp,1711791000000
Ema_1,70668.2
Ema_2,70532.61234567902
Ema_3,70584.875
Ema_4,70685.6
Ema_5,70791.2864197531
Ema_6,70889.12919616826
Ema_7,70976.17812499999
Ema_8,71052.64990092974
Ema_9,71119.688
Ema_10,71178.59485007853
Ema_11,71230.57808641976
Ema_12,71276.68182486607
Ema_13,71317.78384006665
Ema_14,71354.61412345679
Ema_15,71387.778125
Ema_16,71417.7787047569
Ema_17,71445.03499466545
Ema_18,71469.89795965348
Ema_19,71492.663
Ema_20,71513.58007825959
Ema_21,71532.86184003824
Ema_22,71550.69013332571
Ema_23,71567.22125771604
Ema_24,71582.59020800001
Ema_25,71596.91412065407
Ema_26,71610.29508675469
Ema_27,71622.82245939191
Ema_28,71634.57475600218
Ema_29,71645.6212345679
Ema_30,71656.02320596935
Ema_31,71665.83513183593
Ema_32,71675.10554716548
Ema_33,71683.87783910631
Ema_34,71692.19090712201
Ema_35,71700.07972488948
Ema_36,71707.57582043379
Ema_37,71714.70768793978
Ema_38,71721.50114223787
Ema_39,71727.979625
Ema_40,71734.16447010201
Ema_41,71740.07513433187
Ema_42,71745.72939858155
Ema_43,71751.14354381531
Ema_44,71756.33250541077
Ema_45,71761.31000889791
Ema_46,71766.08868965003
Ema_47,71770.68019868826
Ema_48,71775.0952964378
Ema_49,71779.343936
Ema_50,71783.43533727973
Ema_51,71787.37805311437
Ema_52,71791.18002839116
Ema_53,71794.84865300196
Ema_54,71798.39080937095
Ema_55,71801.81291519162
Ema_56,71805.1209619249
Ema_57,71808.32054954115
Ema_58,71811.41691792461
Ema_59,71814.41497530864
Ema_60,71817.31932406272
Ema_61,71820.13428411483
Ema_62,71822.86391425712
Ema_63,71825.51203155519
Ema_64,71828.08222905362
Ema_65,71830.57789195064
Ema_66,71833.00221239305
Ema_67,71835.35820302679
Ema_68,71837.64870942365
Ema_69,71839.87642149105
Ema_70,71842.04388396032
Ema_71,71844.15350603948
Ema_72,71846.20757030688
Ema_73,71848.20824091422
Ema_74,71850.15757116048
Ema_75,71852.05751049331
Ema_76,71853.90991098608
Ema_77,71855.71653333715
Ema_78,71857.47905243123
Ema_79,71859.1990625
Ema_80,71860.87808191477
Ema_81,71862.517557642
Ema_82,71864.11886938858
Ema_83,71865.68333346187
Ema_84,71867.21220636724
Ema_85,71868.70668816348
Ema_86,71870.16792559494
Ema_87,71871.59701501777
Ema_88,71872.99500513535
Ema_89,71874.36289955798
Ema_90,71875.70165919888
Ema_91,71877.01220451972
Ema_92,71878.29541763547
Ema_93,71879.55214428976
Ema_94,71880.78319570905
Ema_95,71881.98935034483
Ema_96,71883.17135551118
Ema_97,71884.32992892555
Ema_98,71885.46576015862
Ema_99,71886.579512
Ema_100,71887.67182174514
