,8h
Date,2024/04/01 08:00:00
Timestamp,1711958400000
Ema_1,71099.9
Ema_2,70932.5012345679
Ema_3,70894.35625
Ema_4,70899.97088000001
Ema_5,70924.19135802469
Ema_6,70955.60693758553
Ema_7,70988.8578125
Ema_8,71021.46525428035
Ema_9,71052.34288000001
Ema_10,71081.08259495437
Ema_11,71107.60563271605
Ema_12,71131.98890849008
Ema_13,71154.37751532102
Ema_14,71174.94051950617
Ema_15,71193.84893798827
Ema_16,71211.26522868147
Ema_17,71227.33878473807
Ema_18,71242.20453778302
Ema_19,71255.98313000002
Ema_20,71268.78183105658
Ema_21,71280.69576034918
Ema_22,71291.80918384867
Ema_23,71302.19676890431
Ema_24,71311.924742656
Ema_25,71321.0519333788
Ema_26,71329.63069185687
Ema_27,71337.7076988011
Ema_28,71345.324668345
Ema_29,71352.51895901233
Ema_30,71359.32410349858
Ema_31,71365.77026786804
Ema_32,71371.88464972874
Ema_33,71377.69182382451
Ema_34,71383.2140423966
Ema_35,71388.47149665953
Ema_36,71393.48254484237
Ema_37,71398.26391145913
Ema_38,71402.83086179351
Ema_39,71407.19735499998
Ema_40,71411.3761787252
Ema_41,71415.37906773116
Ema_42,71419.21680864142
Ema_43,71422.899332626
Ema_44,71426.43579758373
Ema_45,71429.83466115776
Ema_46,71433.10374573711
Ema_47,71436.25029643493
Ema_48,71439.28103290139
Ema_49,71442.20219571199
Ema_50,71445.01958797504
Ema_51,71447.73861271623
Ema_52,71450.36430652734
Ema_53,71452.90136990228
Ema_54,71455.354194632
Ema_55,71457.72688858253
Ema_56,71460.02329814003
Ema_57,71462.24702857457
Ema_58,71464.40146254112
Ema_59,71466.48977691359
Ema_60,71468.51495812197
Ema_61,71470.47981614617
Ema_62,71472.38699729924
Ema_63,71474.23899592162
Ema_64,71476.03816509075
Ema_65,71477.78672644225
Ema_66,71479.4867791862
Ema_67,71481.14030839462
Ema_68,71482.74919262747
Ema_69,71484.31521095734
Ema_70,71485.8400494478
Ema_71,71487.32530713368
Ema_72,71488.77250154757
Ema_73,71490.18307383153
Ema_74,71491.55839347045
Ema_75,71492.89976267861
Ema_76,71494.20842046912
Ema_77,71495.48554643196
Ema_78,71496.73226424531
Ema_79,71497.9496449414
Ema_80,71499.13870994656
Ema_81,71500.30043391377
Ema_82,71501.43574736347
Ema_83,71502.54553914833
Ema_84,71503.63065875461
Ema_85,71504.69191845326
Ema_86,71505.73009531177
Ema_87,71506.74593307692
Ema_88,71507.74014393873
Ema_89,71508.7134101834
Ema_90,71509.66638574353
Ema_91,71510.59969765342
Ema_92,71511.51394741565
Ema_93,71512.40971228512
Ema_94,71513.28754647709
Ema_95,71514.14798230301
Ema_96,71514.99153124075
Ema_97,71515.8186849422
Ema_98,71516.62991618329
Ema_99,71517.42567976
Ema_100,71518.2064133338
